id,title,poll_org,client_org,date_range,sample_size,url,source,nttId,classification,regionKey,municipality,electionType,electionTypes
15826,전국   정당지지도,KOPRA,개인 : 대한민국 자유 유튜브 총연합회,2026-03-28 15:10 ~ 2026-03-29 21:50,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17953&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=10,출처: 중앙선거여론조사심의위원회,17953,"{'region': {'level': 'national', 'metro': None, 'metroKey': None, 'municipality': None}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': False}",,,party_support,['party_support']
15825,경기도 김포시    기초단체장선거 정당지지도,(주)리서치뷰,구·시·군단위 신문 : 김포신문,2026-03-28 10:00 ~ 2026-03-29 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17955&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=10,출처: 중앙선거여론조사심의위원회,17955,"{'region': {'level': 'municipality', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': '김포시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,김포시,mayor,['mayor']
15824,경상북도 포항시    기초단체장선거 정당지지도,(주)비전코리아,방송사 : TBC,2026-03-29 09:46,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17954&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17954,"{'region': {'level': 'municipality', 'metro': '경상북도', 'metroKey': 'gyeongbuk', 'municipality': '포항시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongbuk,포항시,mayor,['mayor']
15823,광주광역시 전체    광역단체장선거,윈지코리아컨설팅,인터넷언론 : 더리얼뉴스광주전남,2026-03-28 10:00 ~ 2026-03-29 22:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17952&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17952,"{'region': {'level': 'metro', 'metro': '광주광역시', 'metroKey': 'jeonnamgwangju', 'municipality': None}, 'electionTypes': ['governor'], 'hasPartySupport': False, 'isRegularSurvey': False}",jeonnamgwangju,,governor,['governor']
15822,전라남도 전체    광역단체장선거,윈지코리아컨설팅,인터넷언론 : 더리얼뉴스광주전남,2026-03-28 10:00 ~ 2026-03-29 22:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17951&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17951,"{'region': {'level': 'metro', 'metro': '전라남도', 'metroKey': 'jeonnamgwangju', 'municipality': None}, 'electionTypes': ['governor'], 'hasPartySupport': False, 'isRegularSurvey': False}",jeonnamgwangju,,governor,['governor']
15821,경상남도 거창군    기초단체장선거 정당지지도,케이에스오아이 주식회사(한국사회여론연구소),인터넷언론 : 거창인터넷신문,2026-03-28 10:30 ~ 2026-03-29 17:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17947&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17947,"{'region': {'level': 'municipality', 'metro': '경상남도', 'metroKey': 'gyeongnam', 'municipality': '거창군'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongnam,거창군,mayor,['mayor']
15820,부산광역시 전체    교육감선거 정당지지도,미디어토마토,방송사 : 부산CBS,2026-03-27 11:43 ~ 2026-03-28 21:24,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17945&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17945,"{'region': {'level': 'metro', 'metro': '부산광역시', 'metroKey': 'busan', 'municipality': None}, 'electionTypes': ['superintendent'], 'hasPartySupport': True, 'isRegularSurvey': False}",busan,,superintendent,['superintendent']
15819,전라남도 영암군    기초단체장선거 정당지지도,(주)리서치뷰,구·시·군단위 신문 : 영암군민일보,2026-03-27 11:00 ~ 2026-03-28 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17944&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17944,"{'region': {'level': 'municipality', 'metro': '전라남도', 'metroKey': 'jeonnamgwangju', 'municipality': '영암군'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",jeonnamgwangju,영암군,mayor,['mayor']
15818,경기도 용인시    정당지지도,(주)데일리리서치,시·도단위 신문 : 중부일보,2026-03-26 11:00 ~ 2026-03-27 21:10,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17943&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17943,"{'region': {'level': 'municipality', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': '용인시'}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,용인시,party_support,['party_support']
15817,경기도 전체    정당지지도,(주)데일리리서치,시·도단위 신문 : 중부일보,2026-03-26 11:00 ~ 2026-03-27 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17942&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17942,"{'region': {'level': 'metro', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': None}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,,party_support,['party_support']
